,cylinders,displayments,horsepower,weight,acceleration,model year,cluster,mpg,origin_1,origin_2,origin_3,origin,car name
79,4,96.0,69.0,2189,18.0,72,0,26.0,0,1,0,2,renault 12 (sw)
80,4,122.0,86.0,2395,16.0,72,0,22.0,1,0,0,1,ford pinto (sw)
81,4,97.0,92.0,2288,17.0,72,0,28.0,0,0,1,3,datsun 510 (sw)
82,4,120.0,97.0,2506,14.5,72,0,23.0,0,0,1,3,toyouta corona mark ii (sw)
83,4,98.0,80.0,2164,15.0,72,0,28.0,1,0,0,1,dodge colt (sw)
84,4,97.0,88.0,2100,16.5,72,0,27.0,0,0,1,3,toyota corolla 1600 (sw)
85,8,350.0,175.0,4100,13.0,73,1,13.0,1,0,0,1,buick century 350
86,8,304.0,150.0,3672,11.5,73,1,14.0,1,0,0,1,amc matador
87,8,350.0,145.0,3988,13.0,73,1,13.0,1,0,0,1,chevrolet malibu
88,8,302.0,137.0,4042,14.5,73,1,14.0,1,0,0,1,ford gran torino
89,8,318.0,150.0,3777,12.5,73,1,15.0,1,0,0,1,dodge coronet custom
90,8,429.0,198.0,4952,11.5,73,1,12.0,1,0,0,1,mercury marquis brougham
91,8,400.0,150.0,4464,12.0,73,1,13.0,1,0,0,1,chevrolet caprice classic
92,8,351.0,158.0,4363,13.0,73,1,13.0,1,0,0,1,ford ltd
93,8,318.0,150.0,4237,14.5,73,1,14.0,1,0,0,1,plymouth fury gran sedan
94,8,440.0,215.0,4735,11.0,73,1,13.0,1,0,0,1,chrysler new yorker brougham
95,8,455.0,225.0,4951,11.0,73,1,12.0,1,0,0,1,buick electra 225 custom
96,8,360.0,175.0,3821,11.0,73,1,13.0,1,0,0,1,amc ambassador brougham
97,6,225.0,105.0,3121,16.5,73,1,18.0,1,0,0,1,plymouth valiant
98,6,250.0,100.0,3278,18.0,73,1,16.0,1,0,0,1,chevrolet nova custom
99,6,232.0,100.0,2945,16.0,73,1,18.0,1,0,0,1,amc hornet
100,6,250.0,88.0,3021,16.5,73,1,18.0,1,0,0,1,ford maverick
101,6,198.0,95.0,2904,16.0,73,1,23.0,1,0,0,1,plymouth duster
102,4,97.0,46.0,1950,21.0,73,0,26.0,0,1,0,2,volkswagen super beetle
103,8,400.0,150.0,4997,14.0,73,1,11.0,1,0,0,1,chevrolet impala
104,8,400.0,167.0,4906,12.5,73,1,12.0,1,0,0,1,ford country
105,8,360.0,170.0,4654,13.0,73,1,13.0,1,0,0,1,plymouth custom suburb
106,8,350.0,180.0,4499,12.5,73,1,12.0,1,0,0,1,oldsmobile vista cruiser
107,6,232.0,100.0,2789,15.0,73,1,18.0,1,0,0,1,amc gremlin
108,4,97.0,88.0,2279,19.0,73,0,20.0,0,0,1,3,toyota carina
109,4,140.0,72.0,2401,19.5,73,0,21.0,1,0,0,1,chevrolet vega
110,4,108.0,94.0,2379,16.5,73,0,22.0,0,0,1,3,datsun 610
111,4,70.0,90.0,2124,13.5,73,0,18.0,0,0,1,3,maxda rx3
112,4,122.0,85.0,2310,18.5,73,0,19.0,1,0,0,1,ford pinto
113,6,155.0,107.0,2472,14.0,73,1,21.0,1,0,0,1,mercury capri v6
114,4,98.0,90.0,2265,15.5,73,0,26.0,0,1,0,2,fiat 124 sport coupe
115,8,350.0,145.0,4082,13.0,73,1,15.0,1,0,0,1,chevrolet monte carlo s
116,8,400.0,230.0,4278,9.5,73,1,16.0,1,0,0,1,pontiac grand prix
117,4,68.0,49.0,1867,19.5,73,0,29.0,0,1,0,2,fiat 128
118,4,116.0,75.0,2158,15.5,73,0,24.0,0,1,0,2,opel manta
119,4,114.0,91.0,2582,14.0,73,0,20.0,0,1,0,2,audi 100ls
120,4,121.0,112.0,2868,15.5,73,0,19.0,0,1,0,2,volvo 144ea
121,8,318.0,150.0,3399,11.0,73,1,15.0,1,0,0,1,dodge dart custom
122,4,121.0,110.0,2660,14.0,73,0,24.0,0,1,0,2,saab 99le
123,6,156.0,122.0,2807,13.5,73,0,20.0,0,0,1,3,toyota mark ii
124,8,350.0,180.0,3664,11.0,73,1,11.0,1,0,0,1,oldsmobile omega
125,6,198.0,95.0,3102,16.5,74,1,20.0,1,0,0,1,plymouth duster
126,6,200.0,100.13676637457513,2875,17.0,74,1,21.0,1,0,0,1,ford maverick
127,6,232.0,100.0,2901,16.0,74,1,19.0,1,0,0,1,amc hornet
128,6,250.0,100.0,3336,17.0,74,1,15.0,1,0,0,1,chevrolet nova
129,4,79.0,67.0,1950,19.0,74,0,31.0,0,0,1,3,datsun b210
130,4,122.0,80.0,2451,16.5,74,0,26.0,1,0,0,1,ford pinto
131,4,71.0,65.0,1836,21.0,74,0,32.0,0,0,1,3,toyota corolla 1200
132,4,140.0,75.0,2542,17.0,74,0,25.0,1,0,0,1,chevrolet vega
133,6,250.0,100.0,3781,17.0,74,1,16.0,1,0,0,1,chevrolet chevelle malibu classic
134,6,258.0,110.0,3632,18.0,74,1,16.0,1,0,0,1,amc matador
135,6,225.0,105.0,3613,16.5,74,1,18.0,1,0,0,1,plymouth satellite sebring
136,8,302.0,140.0,4141,14.0,74,1,16.0,1,0,0,1,ford gran torino
137,8,350.0,150.0,4699,14.5,74,1,13.0,1,0,0,1,buick century luxus (sw)
138,8,318.0,150.0,4457,13.5,74,1,14.0,1,0,0,1,dodge coronet custom (sw)
139,8,302.0,140.0,4638,16.0,74,1,14.0,1,0,0,1,ford gran torino (sw)
140,8,304.0,150.0,4257,15.5,74,1,14.0,1,0,0,1,amc matador (sw)
141,4,98.0,83.0,2219,16.5,74,0,29.0,0,1,0,2,audi fox
142,4,79.0,67.0,1963,15.5,74,0,26.0,0,1,0,2,volkswagen dasher
143,4,97.0,78.0,2300,14.5,74,0,26.0,0,1,0,2,opel manta
144,4,76.0,52.0,1649,16.5,74,0,31.0,0,0,1,3,toyota corona
145,4,83.0,61.0,2003,19.0,74,0,32.0,0,0,1,3,datsun 710
146,4,90.0,75.0,2125,14.5,74,0,28.0,1,0,0,1,dodge colt
147,4,90.0,75.0,2108,15.5,74,0,24.0,0,1,0,2,fiat 128
148,4,116.0,75.0,2246,14.0,74,0,26.0,0,1,0,2,fiat 124 tc
149,4,120.0,97.0,2489,15.0,74,0,24.0,0,0,1,3,honda civic
150,4,108.0,93.0,2391,15.5,74,0,26.0,0,0,1,3,subaru
151,4,79.0,67.0,2000,16.0,74,0,31.0,0,1,0,2,fiat x1.9
152,6,225.0,95.0,3264,16.0,75,1,19.0,1,0,0,1,plymouth valiant custom
153,6,250.0,105.0,3459,16.0,75,1,18.0,1,0,0,1,chevrolet nova
154,6,250.0,72.0,3432,21.0,75,1,15.0,1,0,0,1,mercury monarch
155,6,250.0,72.0,3158,19.5,75,1,15.0,1,0,0,1,ford maverick
156,8,400.0,170.0,4668,11.5,75,1,16.0,1,0,0,1,pontiac catalina
157,8,350.0,145.0,4440,14.0,75,1,15.0,1,0,0,1,chevrolet bel air
158,8,318.0,150.0,4498,14.5,75,1,16.0,1,0,0,1,plymouth grand fury
159,8,351.0,148.0,4657,13.5,75,1,14.0,1,0,0,1,ford ltd
160,6,231.0,110.0,3907,21.0,75,1,17.0,1,0,0,1,buick century
161,6,250.0,105.0,3897,18.5,75,1,16.0,1,0,0,1,chevroelt chevelle malibu
162,6,258.0,110.0,3730,19.0,75,1,15.0,1,0,0,1,amc matador
163,6,225.0,95.0,3785,19.0,75,1,18.0,1,0,0,1,plymouth fury
164,6,231.0,110.0,3039,15.0,75,1,21.0,1,0,0,1,buick skyhawk
165,8,262.0,110.0,3221,13.5,75,1,20.0,1,0,0,1,chevrolet monza 2+2
166,8,302.0,129.0,3169,12.0,75,1,13.0,1,0,0,1,ford mustang ii
167,4,97.0,75.0,2171,16.0,75,0,29.0,0,0,1,3,toyota corolla
168,4,140.0,83.0,2639,17.0,75,0,23.0,1,0,0,1,ford pinto
169,6,232.0,100.0,2914,16.0,75,1,20.0,1,0,0,1,amc gremlin
170,4,140.0,78.0,2592,18.5,75,0,23.0,1,0,0,1,pontiac astro
171,4,134.0,96.0,2702,13.5,75,0,24.0,0,0,1,3,toyota corona
172,4,90.0,71.0,2223,16.5,75,0,25.0,0,1,0,2,volkswagen dasher
173,4,119.0,97.0,2545,17.0,75,0,24.0,0,0,1,3,datsun 710
174,6,171.0,97.0,2984,14.5,75,1,18.0,1,0,0,1,ford pinto
175,4,90.0,70.0,1937,14.0,75,0,29.0,0,1,0,2,volkswagen rabbit
176,6,232.0,90.0,3211,17.0,75,1,19.0,1,0,0,1,amc pacer
177,4,115.0,95.0,2694,15.0,75,0,23.0,0,1,0,2,audi 100ls
178,4,120.0,88.0,2957,17.0,75,0,23.0,0,1,0,2,peugeot 504
179,4,121.0,98.0,2945,14.5,75,0,22.0,0,1,0,2,volvo 244dl
180,4,121.0,115.0,2671,13.5,75,0,25.0,0,1,0,2,saab 99le
181,4,91.0,53.0,1795,17.5,75,0,33.0,0,0,1,3,honda civic cvcc
182,4,107.0,86.0,2464,15.5,76,0,28.0,0,1,0,2,fiat 131
183,4,116.0,81.0,2220,16.9,76,0,25.0,0,1,0,2,opel 1900
184,4,140.0,92.0,2572,14.9,76,0,25.0,1,0,0,1,capri ii
185,4,98.0,79.0,2255,17.7,76,0,26.0,1,0,0,1,dodge colt
186,4,101.0,83.0,2202,15.3,76,0,27.0,0,1,0,2,renault 12tl
187,8,305.0,140.0,4215,13.0,76,1,17.5,1,0,0,1,chevrolet chevelle malibu classic
188,8,318.0,150.0,4190,13.0,76,1,16.0,1,0,0,1,dodge coronet brougham
189,8,304.0,120.0,3962,13.9,76,1,15.5,1,0,0,1,amc matador
190,8,351.0,152.0,4215,12.8,76,1,14.5,1,0,0,1,ford gran torino
191,6,225.0,100.0,3233,15.4,76,1,22.0,1,0,0,1,plymouth valiant
192,6,250.0,105.0,3353,14.5,76,1,22.0,1,0,0,1,chevrolet nova
193,6,200.0,81.0,3012,17.6,76,1,24.0,1,0,0,1,ford maverick
194,6,232.0,90.0,3085,17.6,76,1,22.5,1,0,0,1,amc hornet
195,4,85.0,52.0,2035,22.2,76,0,29.0,1,0,0,1,chevrolet chevette
196,4,98.0,60.0,2164,22.1,76,0,24.5,1,0,0,1,chevrolet woody
197,4,90.0,70.0,1937,14.2,76,0,29.0,0,1,0,2,vw rabbit
198,4,91.0,53.0,1795,17.4,76,0,33.0,0,0,1,3,honda civic
199,6,225.0,100.0,3651,17.7,76,1,20.0,1,0,0,1,dodge aspen se
200,6,250.0,78.0,3574,21.0,76,1,18.0,1,0,0,1,ford granada ghia
201,6,250.0,110.0,3645,16.2,76,1,18.5,1,0,0,1,pontiac ventura sj
202,6,258.0,95.0,3193,17.8,76,1,17.5,1,0,0,1,amc pacer d/l
203,4,97.0,71.0,1825,12.2,76,0,29.5,0,1,0,2,volkswagen rabbit
204,4,85.0,70.0,1990,17.0,76,0,32.0,0,0,1,3,datsun b-210
205,4,97.0,75.0,2155,16.4,76,0,28.0,0,0,1,3,toyota corolla
206,4,140.0,72.0,2565,13.6,76,0,26.5,1,0,0,1,ford pinto
207,4,130.0,102.0,3150,15.7,76,0,20.0,0,1,0,2,volvo 245
208,8,318.0,150.0,3940,13.2,76,1,13.0,1,0,0,1,plymouth volare premier v8
209,4,120.0,88.0,3270,21.9,76,0,19.0,0,1,0,2,peugeot 504
210,6,156.0,108.0,2930,15.5,76,0,19.0,0,0,1,3,toyota mark ii
211,6,168.0,120.0,3820,16.7,76,0,16.5,0,1,0,2,mercedes-benz 280s
212,8,350.0,180.0,4380,12.1,76,1,16.5,1,0,0,1,cadillac seville
213,8,350.0,145.0,4055,12.0,76,1,13.0,1,0,0,1,chevy c10
214,8,302.0,130.0,3870,15.0,76,1,13.0,1,0,0,1,ford f108
215,8,318.0,150.0,3755,14.0,76,1,13.0,1,0,0,1,dodge d100
216,4,98.0,68.0,2045,18.5,77,0,31.5,0,0,1,3,honda accord cvcc
217,4,111.0,80.0,2155,14.8,77,0,30.0,1,0,0,1,buick opel isuzu deluxe
218,4,79.0,58.0,1825,18.6,77,0,36.0,0,1,0,2,renault 5 gtl
219,4,122.0,96.0,2300,15.5,77,0,25.5,1,0,0,1,plymouth arrow gs
220,4,85.0,70.0,1945,16.8,77,0,33.5,0,0,1,3,datsun f-10 hatchback
221,8,305.0,145.0,3880,12.5,77,1,17.5,1,0,0,1,chevrolet caprice classic
222,8,260.0,110.0,4060,19.0,77,1,17.0,1,0,0,1,oldsmobile cutlass supreme
223,8,318.0,145.0,4140,13.7,77,1,15.5,1,0,0,1,dodge monaco brougham
224,8,302.0,130.0,4295,14.9,77,1,15.0,1,0,0,1,mercury cougar brougham
225,6,250.0,110.0,3520,16.4,77,1,17.5,1,0,0,1,chevrolet concours
226,6,231.0,105.0,3425,16.9,77,1,20.5,1,0,0,1,buick skylark
227,6,225.0,100.0,3630,17.7,77,1,19.0,1,0,0,1,plymouth volare custom
228,6,250.0,98.0,3525,19.0,77,1,18.5,1,0,0,1,ford granada
229,8,400.0,180.0,4220,11.1,77,1,16.0,1,0,0,1,pontiac grand prix lj
230,8,350.0,170.0,4165,11.4,77,1,15.5,1,0,0,1,chevrolet monte carlo landau
231,8,400.0,190.0,4325,12.2,77,1,15.5,1,0,0,1,chrysler cordoba
232,8,351.0,149.0,4335,14.5,77,1,16.0,1,0,0,1,ford thunderbird
233,4,97.0,78.0,1940,14.5,77,0,29.0,0,1,0,2,volkswagen rabbit custom
234,4,151.0,88.0,2740,16.0,77,0,24.5,1,0,0,1,pontiac sunbird coupe
235,4,97.0,75.0,2265,18.2,77,0,26.0,0,0,1,3,toyota corolla liftback
236,4,140.0,89.0,2755,15.8,77,0,25.5,1,0,0,1,ford mustang ii 2+2
237,4,98.0,63.0,2051,17.0,77,0,30.5,1,0,0,1,chevrolet chevette
238,4,98.0,83.0,2075,15.9,77,0,33.5,1,0,0,1,dodge colt m/m
239,4,97.0,67.0,1985,16.4,77,0,30.0,0,0,1,3,subaru dl
240,4,97.0,78.0,2190,14.1,77,0,30.5,0,1,0,2,volkswagen dasher
241,6,146.0,97.0,2815,14.5,77,0,22.0,0,0,1,3,datsun 810
242,4,121.0,110.0,2600,12.8,77,0,21.5,0,1,0,2,bmw 320i
243,4,80.0,110.0,2720,13.5,77,0,21.5,0,0,1,3,mazda rx-4
244,4,90.0,48.0,1985,21.5,78,0,43.1,0,1,0,2,volkswagen rabbit custom diesel
245,4,98.0,66.0,1800,14.4,78,0,36.1,1,0,0,1,ford fiesta
246,4,78.0,52.0,1985,19.4,78,0,32.8,0,0,1,3,mazda glc deluxe
247,4,85.0,70.0,2070,18.6,78,0,39.4,0,0,1,3,datsun b210 gx
248,4,91.0,60.0,1800,16.4,78,0,36.1,0,0,1,3,honda civic cvcc
249,8,260.0,110.0,3365,15.5,78,1,19.9,1,0,0,1,oldsmobile cutlass salon brougham
250,8,318.0,140.0,3735,13.2,78,1,19.4,1,0,0,1,dodge diplomat
251,8,302.0,139.0,3570,12.8,78,1,20.2,1,0,0,1,mercury monarch ghia
252,6,231.0,105.0,3535,19.2,78,1,19.2,1,0,0,1,pontiac phoenix lj
253,6,200.0,95.0,3155,18.2,78,1,20.5,1,0,0,1,chevrolet malibu
254,6,200.0,85.0,2965,15.8,78,1,20.2,1,0,0,1,ford fairmont (auto)
255,4,140.0,88.0,2720,15.4,78,0,25.1,1,0,0,1,ford fairmont (man)
256,6,225.0,100.0,3430,17.2,78,1,20.5,1,0,0,1,plymouth volare
257,6,232.0,90.0,3210,17.2,78,1,19.4,1,0,0,1,amc concord
258,6,231.0,105.0,3380,15.8,78,1,20.6,1,0,0,1,buick century special
259,6,200.0,85.0,3070,16.7,78,1,20.8,1,0,0,1,mercury zephyr
260,6,225.0,110.0,3620,18.7,78,1,18.6,1,0,0,1,dodge aspen
261,6,258.0,120.0,3410,15.1,78,1,18.1,1,0,0,1,amc concord d/l
262,8,305.0,145.0,3425,13.2,78,1,19.2,1,0,0,1,chevrolet monte carlo landau
263,6,231.0,165.0,3445,13.4,78,1,17.7,1,0,0,1,buick regal sport coupe (turbo)
264,8,302.0,139.0,3205,11.2,78,1,18.1,1,0,0,1,ford futura
265,8,318.0,140.0,4080,13.7,78,1,17.5,1,0,0,1,dodge magnum xe
266,4,98.0,68.0,2155,16.5,78,0,30.0,1,0,0,1,chevrolet chevette
267,4,134.0,95.0,2560,14.2,78,0,27.5,0,0,1,3,toyota corona
268,4,119.0,97.0,2300,14.7,78,0,27.2,0,0,1,3,datsun 510
269,4,105.0,75.0,2230,14.5,78,0,30.9,1,0,0,1,dodge omni
270,4,134.0,95.0,2515,14.8,78,0,21.1,0,0,1,3,toyota celica gt liftback
271,4,156.0,105.0,2745,16.7,78,0,23.2,1,0,0,1,plymouth sapporo
272,4,151.0,85.0,2855,17.6,78,0,23.8,1,0,0,1,oldsmobile starfire sx
273,4,119.0,97.0,2405,14.9,78,0,23.9,0,0,1,3,datsun 200-sx
274,6,131.0,103.0,2830,15.9,78,0,20.3,0,1,0,2,audi 5000
275,6,163.0,125.0,3140,13.6,78,0,17.0,0,1,0,2,volvo 264gl
276,4,121.0,115.0,2795,15.7,78,0,21.6,0,1,0,2,saab 99gle
277,6,163.0,133.0,3410,15.8,78,0,16.2,0,1,0,2,peugeot 604sl
278,4,89.0,71.0,1990,14.9,78,0,31.5,0,1,0,2,volkswagen scirocco
279,4,98.0,68.0,2135,16.6,78,0,29.5,0,0,1,3,honda accord lx
280,6,231.0,115.0,3245,15.4,79,1,21.5,1,0,0,1,pontiac lemans v6
281,6,200.0,85.0,2990,18.2,79,1,19.8,1,0,0,1,mercury zephyr 6
282,4,140.0,88.0,2890,17.3,79,0,22.3,1,0,0,1,ford fairmont 4
283,6,232.0,90.0,3265,18.2,79,1,20.2,1,0,0,1,amc concord dl 6
284,6,225.0,110.0,3360,16.6,79,1,20.6,1,0,0,1,dodge aspen 6
285,8,305.0,130.0,3840,15.4,79,1,17.0,1,0,0,1,chevrolet caprice classic
286,8,302.0,129.0,3725,13.4,79,1,17.6,1,0,0,1,ford ltd landau
287,8,351.0,138.0,3955,13.2,79,1,16.5,1,0,0,1,mercury grand marquis
288,8,318.0,135.0,3830,15.2,79,1,18.2,1,0,0,1,dodge st. regis
289,8,350.0,155.0,4360,14.9,79,1,16.9,1,0,0,1,buick estate wagon (sw)
290,8,351.0,142.0,4054,14.3,79,1,15.5,1,0,0,1,ford country squire (sw)
291,8,267.0,125.0,3605,15.0,79,1,19.2,1,0,0,1,chevrolet malibu classic (sw)
292,8,360.0,150.0,3940,13.0,79,1,18.5,1,0,0,1,chrysler lebaron town @ country (sw)
293,4,89.0,71.0,1925,14.0,79,0,31.9,0,1,0,2,vw rabbit custom
294,4,86.0,65.0,1975,15.2,79,0,34.1,0,0,1,3,maxda glc deluxe
295,4,98.0,80.0,1915,14.4,79,0,35.7,1,0,0,1,dodge colt hatchback custom
296,4,121.0,80.0,2670,15.0,79,0,27.4,1,0,0,1,amc spirit dl
297,6,183.0,77.0,3530,20.1,79,0,25.4,0,1,0,2,mercedes benz 300d
298,8,350.0,125.0,3900,17.4,79,1,23.0,1,0,0,1,cadillac eldorado
299,4,141.0,71.0,3190,24.8,79,0,27.2,0,1,0,2,peugeot 504
300,8,260.0,90.0,3420,22.2,79,1,23.9,1,0,0,1,oldsmobile cutlass salon brougham
301,4,105.0,70.0,2200,13.2,79,0,34.2,1,0,0,1,plymouth horizon
302,4,105.0,70.0,2150,14.9,79,0,34.5,1,0,0,1,plymouth horizon tc3
303,4,85.0,65.0,2020,19.2,79,0,31.8,0,0,1,3,datsun 210
304,4,91.0,69.0,2130,14.7,79,0,37.3,0,1,0,2,fiat strada custom
305,4,151.0,90.0,2670,16.0,79,0,28.4,1,0,0,1,buick skylark limited
306,6,173.0,115.0,2595,11.3,79,1,28.8,1,0,0,1,chevrolet citation
307,6,173.0,115.0,2700,12.9,79,1,26.8,1,0,0,1,oldsmobile omega brougham
308,4,151.0,90.0,2556,13.2,79,0,33.5,1,0,0,1,pontiac phoenix
309,4,98.0,76.0,2144,14.7,80,0,41.5,0,1,0,2,vw rabbit
310,4,89.0,60.0,1968,18.8,80,0,38.1,0,0,1,3,toyota corolla tercel
311,4,98.0,70.0,2120,15.5,80,0,32.1,1,0,0,1,chevrolet chevette
312,4,86.0,65.0,2019,16.4,80,0,37.2,0,0,1,3,datsun 310
313,4,151.0,90.0,2678,16.5,80,0,28.0,1,0,0,1,chevrolet citation
314,4,140.0,88.0,2870,18.1,80,0,26.4,1,0,0,1,ford fairmont
315,4,151.0,90.0,3003,20.1,80,0,24.3,1,0,0,1,amc concord
316,6,225.0,90.0,3381,18.7,80,1,19.1,1,0,0,1,dodge aspen
317,4,97.0,78.0,2188,15.8,80,0,34.3,0,1,0,2,audi 4000
